"Status";"Amount";"Customer";"Pipeline status";"Status";"Creation date";"Closing date";"Product";"Country";"Sales person";"Prob"
"RED";"9,739.17";"Company 2";"STANDBY";"VERBAL COMMITMENT";"04/02/2010 03:32:23";"12/06/2010 03:32:23";"PRODUCT 7";"India";"Darryl Innes";"0.199"
"GREY";"8,857.772";"Company 6";"EARLY";"WIN";"20/02/2010 04:21:23";"04/07/2010 04:21:23";"PRODUCT 4";"Saudi Arabia";"Roxie Foraker";"32.112"
"YELLOW";"9,576.038";"Company 1";"EARLY";"LOST";"16/02/2010 01:45:23";"18/05/2010 01:45:23";"PRODUCT 11";"United Kingdom";"Jamie Gilbeau";"71.686"
"YELLOW";"8,633.169";"Company 5";"EARLY";"CONTACTED";"22/02/2010 04:21:23";"30/05/2010 04:21:23";"PRODUCT 3";"Italy";"Darryl Innes";"71.996"
"YELLOW";"9,718.521";"Company 6";"ADVANCED";"STANDBY";"05/02/2010 12:16:23";"08/05/2010 12:16:23";"PRODUCT 4";"Poland";"Roxie Foraker";"52.427"
"GREEN";"13,162.987";"Company 7";"EARLY";"QUALIFIED";"15/02/2010 02:36:23";"24/05/2010 02:36:23";"PRODUCT 5";"France";"Jamie Gilbeau";"90.452"
"RED";"12,618.856";"Company 2";"ADVANCED";"QUALIFIED";"06/02/2010 15:49:23";"12/05/2010 15:49:23";"PRODUCT 7";"Turkey";"Jerri Preble";"5.121"
"YELLOW";"13,083.589";"Company 2";"EARLY";"DEMO";"14/02/2010 03:57:23";"15/06/2010 03:57:23";"PRODUCT 5";"Canada";"Jerri Preble";"54.522"
"GREEN";"9,373.009";"Company 8";"ADVANCED";"SHORT LISTED";"24/02/2010 23:05:23";"22/06/2010 23:05:23";"PRODUCT 2";"Brazil";"Roxie Foraker";"94.473"
"YELLOW";"12,899.355";"Company 1";"EARLY";"SHORT LISTED";"07/02/2010 18:42:23";"11/05/2010 18:42:23";"PRODUCT 8";"Japan";"Kathrine Janas";"70.723"
"GREY";"13,359.68";"Company 4";"ADVANCED";"LOST";"06/02/2010 14:48:23";"15/06/2010 14:48:23";"PRODUCT 5";"Poland";"Julio Burdge";"41.912"
"YELLOW";"8,690.05";"Company 8";"EARLY";"CONTACTED";"03/02/2010 20:15:23";"08/06/2010 20:15:23";"PRODUCT 8";"Poland";"Neva Hunger";"55.576"
"RED";"14,391.03";"Company 6";"STANDBY";"VERBAL COMMITMENT";"31/01/2010 10:18:23";"13/06/2010 10:18:23";"PRODUCT 8";"Indonesia";"Neva Hunger";"24.442"
"GREEN";"14,079.906";"Company 3";"EARLY";"DEMO";"25/02/2010 03:54:23";"01/06/2010 03:54:23";"PRODUCT 4";"Turkey";"Neva Hunger";"75.29"
"YELLOW";"10,875.127";"Company 7";"ADVANCED";"VERBAL COMMITMENT";"11/02/2010 07:58:23";"10/06/2010 07:58:23";"PRODUCT 8";"Saudi Arabia";"Jamie Gilbeau";"67.645"
"RED";"11,968.428";"Company 7";"ADVANCED";"LOST";"01/02/2010 13:57:23";"08/05/2010 13:57:23";"PRODUCT 8";"Sweden";"Julio Burdge";"4.569"
"GREEN";"11,490.106";"Company 2";"ADVANCED";"DEMO";"06/02/2010 23:53:23";"23/05/2010 23:53:23";"PRODUCT 8";"Belgium";"Kathrine Janas";"82.81"
"YELLOW";"10,522.917";"Company 8";"EARLY";"DEMO";"16/02/2010 13:49:23";"25/06/2010 13:49:23";"PRODUCT 4";"Netherlands";"Roxie Foraker";"54.578"
"GREEN";"9,870.058";"Company 7";"EARLY";"LOST";"06/02/2010 00:30:23";"11/05/2010 00:30:23";"PRODUCT 6";"Indonesia";"Neva Hunger";"98.218"
"RED";"10,932.714";"Company 1";"STANDBY";"SHORT LISTED";"26/02/2010 08:21:23";"02/06/2010 08:21:23";"PRODUCT 4";"India";"Roxie Foraker";"20.035"
"GREY";"12,802.625";"Company 7";"ADVANCED";"QUALIFIED";"06/02/2010 13:15:23";"08/06/2010 13:15:23";"PRODUCT 6";"United States";"Darryl Innes";"34.553"
"GREEN";"9,425.157";"Company 2";"ADVANCED";"QUALIFIED";"06/02/2010 01:42:23";"27/05/2010 01:42:23";"PRODUCT 8";"Mexico";"Julio Burdge";"95.451"
"YELLOW";"13,438.325";"Company 3";"EARLY";"SHORT LISTED";"15/02/2010 03:57:23";"26/06/2010 03:57:23";"PRODUCT 4";"Australia";"Jerri Preble";"74.467"
"RED";"9,043.263";"Company 1";"EARLY";"LOST";"08/02/2010 20:08:23";"13/05/2010 20:08:23";"PRODUCT 8";"Russia";"Kathrine Janas";"10.511"
"GREEN";"11,011.586";"Company 2";"EARLY";"SHORT LISTED";"03/02/2010 20:11:23";"02/06/2010 20:11:23";"PRODUCT 11";"Germany";"Julio Burdge";"76.275"
"GREY";"9,685.125";"Company 2";"EARLY";"CONTACTED";"20/02/2010 21:46:23";"03/07/2010 21:46:23";"PRODUCT 1";"Germany";"Darryl Innes";"34.59"
"GREEN";"10,573.508";"Company 9";"STANDBY";"WIN";"25/02/2010 22:11:23";"05/06/2010 22:11:23";"PRODUCT 7";"United States";"Jamie Gilbeau";"81.798"
"RED";"14,905.032";"Company 6";"STANDBY";"VERBAL COMMITMENT";"03/02/2010 00:09:23";"14/05/2010 00:09:23";"PRODUCT 4";"Mexico";"Jamie Gilbeau";"0.416"
"YELLOW";"13,236.337";"Company 1";"EARLY";"WIN";"02/02/2010 20:38:23";"09/06/2010 20:38:23";"PRODUCT 3";"Norway";"Julio Burdge";"68.34"
"GREEN";"9,976.299";"Company 9";"STANDBY";"VERBAL COMMITMENT";"25/02/2010 10:49:23";"28/06/2010 10:49:23";"PRODUCT 1";"Switzerland";"Jamie Gilbeau";"96.871"
"GREEN";"14,429.661";"Company 6";"EARLY";"LOST";"24/03/2010 03:31:23";"28/07/2010 03:31:23";"PRODUCT 7";"Spain";"Julio Burdge";"94.813"
"GREEN";"12,715.827";"Company 1";"EARLY";"QUALIFIED";"28/02/2010 07:57:23";"13/06/2010 07:57:23";"PRODUCT 3";"Netherlands";"Julio Burdge";"80.929"
"GREEN";"13,668.323";"Company 8";"ADVANCED";"VERBAL COMMITMENT";"23/03/2010 22:47:23";"06/07/2010 22:47:23";"PRODUCT 8";"Japan";"Kathrine Janas";"91.996"
"YELLOW";"11,570.371";"Company 8";"EARLY";"LOST";"11/03/2010 17:02:23";"20/07/2010 17:02:23";"PRODUCT 8";"Indonesia";"Darryl Innes";"58.745"
"GREY";"11,332.054";"Company 7";"STANDBY";"DEMO";"22/03/2010 09:50:23";"27/07/2010 09:50:23";"PRODUCT 1";"Norway";"Jerri Preble";"46.94"
"GREEN";"11,464.538";"Company 2";"EARLY";"DEMO";"03/03/2010 14:07:23";"18/06/2010 14:07:23";"PRODUCT 10";"Russia";"Nita Marling";"85.87"
"GREY";"9,956.824";"Company 9";"EARLY";"QUALIFIED";"05/03/2010 08:00:23";"03/07/2010 08:00:23";"PRODUCT 6";"Saudi Arabia";"Jerri Preble";"31.509"
"GREY";"8,910.492";"Company 8";"STANDBY";"STANDBY";"18/03/2010 01:10:23";"29/06/2010 01:10:23";"PRODUCT 6";"India";"Jamie Gilbeau";"36.619"
"GREY";"9,537.913";"Company 3";"EARLY";"SHORT LISTED";"17/03/2010 16:20:23";"22/07/2010 16:20:23";"PRODUCT 3";"Poland";"Neva Hunger";"25.063"
"GREEN";"11,879.388";"Company 8";"ADVANCED";"SHORT LISTED";"04/03/2010 14:09:23";"27/06/2010 14:09:23";"PRODUCT 8";"Mexico";"Nita Marling";"92.576"
"GREEN";"14,344.698";"Company 3";"ADVANCED";"DEMO";"05/03/2010 20:14:23";"03/07/2010 20:14:23";"PRODUCT 8";"Switzerland";"Jerri Preble";"81.286"
"RED";"9,934.516";"Company 3";"STANDBY";"VERBAL COMMITMENT";"11/03/2010 18:04:23";"03/07/2010 18:04:23";"PRODUCT 11";"Netherlands";"Julio Burdge";"0.232"
"GREEN";"12,747.163";"Company 7";"STANDBY";"LOST";"09/03/2010 16:40:23";"11/07/2010 16:40:23";"PRODUCT 8";"Netherlands";"Roxie Foraker";"89.148"
"GREY";"10,126.172";"Company 3";"ADVANCED";"STANDBY";"14/03/2010 23:12:23";"04/07/2010 23:12:23";"PRODUCT 3";"United States";"Neva Hunger";"47.781"
"GREEN";"10,554.124";"Company 2";"STANDBY";"QUALIFIED";"02/03/2010 00:52:23";"06/07/2010 00:52:23";"PRODUCT 7";"Brazil";"Julio Burdge";"78.011"
"RED";"9,148.24";"Company 2";"EARLY";"SHORT LISTED";"26/03/2010 20:49:23";"09/07/2010 20:49:23";"PRODUCT 4";"Brazil";"Julio Burdge";"11.034"
"RED";"9,363.173";"Company 2";"EARLY";"WIN";"08/03/2010 01:35:23";"29/06/2010 01:35:23";"PRODUCT 1";"Germany";"Kathrine Janas";"16.875"
"RED";"10,256.499";"Company 2";"STANDBY";"CONTACTED";"25/03/2010 18:19:23";"24/07/2010 18:19:23";"PRODUCT 8";"Germany";"Jerri Preble";"18.496"
"YELLOW";"10,422.344";"Company 3";"STANDBY";"CONTACTED";"25/03/2010 22:48:23";"26/07/2010 22:48:23";"PRODUCT 8";"Japan";"Neva Hunger";"57.768"
"GREEN";"11,448.646";"Company 1";"ADVANCED";"CONTACTED";"07/03/2010 15:29:23";"15/06/2010 15:29:23";"PRODUCT 7";"United Kingdom";"Nita Marling";"85.567"
"YELLOW";"12,503.494";"Company 3";"ADVANCED";"VERBAL COMMITMENT";"04/03/2010 20:00:23";"23/06/2010 20:00:23";"PRODUCT 4";"India";"Julio Burdge";"73.267"
"YELLOW";"10,406.036";"Company 3";"EARLY";"SHORT LISTED";"03/03/2010 06:28:23";"15/06/2010 06:28:23";"PRODUCT 7";"Norway";"Darryl Innes";"67.889"
"GREY";"14,287.404";"Company 4";"STANDBY";"DEMO";"26/03/2010 13:23:23";"28/06/2010 13:23:23";"PRODUCT 5";"Netherlands";"Neva Hunger";"38.173"
"GREEN";"8,697.144";"Company 1";"STANDBY";"VERBAL COMMITMENT";"05/03/2010 03:43:23";"13/06/2010 03:43:23";"PRODUCT 8";"Belgium";"Roxie Foraker";"83.84"
"RED";"10,760.602";"Company 2";"ADVANCED";"WIN";"21/03/2010 23:24:23";"13/07/2010 23:24:23";"PRODUCT 11";"Belgium";"Jerri Preble";"5.315"
"YELLOW";"11,742.747";"Company 6";"EARLY";"WIN";"21/03/2010 02:47:23";"26/06/2010 02:47:23";"PRODUCT 6";"Russia";"Nita Marling";"56.159"
"GREY";"8,123.898";"Company 3";"EARLY";"VERBAL COMMITMENT";"24/03/2010 05:04:23";"18/07/2010 05:04:23";"PRODUCT 4";"Spain";"Kathrine Janas";"25.502"
"RED";"14,042.816";"Company 6";"STANDBY";"STANDBY";"21/03/2010 16:20:23";"26/06/2010 16:20:23";"PRODUCT 1";"Australia";"Jamie Gilbeau";"22.715"
"YELLOW";"11,712.643";"Company 6";"ADVANCED";"VERBAL COMMITMENT";"04/03/2010 12:15:23";"12/06/2010 12:15:23";"PRODUCT 5";"Turkey";"Julio Burdge";"61.611"
"YELLOW";"8,165.14";"Company 7";"ADVANCED";"STANDBY";"18/03/2010 08:42:23";"23/07/2010 08:42:23";"PRODUCT 1";"Brazil";"Kathrine Janas";"66.419"
"GREY";"11,428.708";"Company 7";"STANDBY";"CONTACTED";"12/04/2010 23:44:23";"18/07/2010 23:44:23";"PRODUCT 3";"United States";"Julio Burdge";"46.819"
"RED";"13,995.655";"Company 3";"ADVANCED";"WIN";"06/04/2010 15:16:23";"10/08/2010 15:16:23";"PRODUCT 3";"Poland";"Jerri Preble";"14.277"
"GREY";"10,184.174";"Company 1";"STANDBY";"WIN";"13/04/2010 18:48:23";"18/07/2010 18:48:23";"PRODUCT 11";"Sweden";"Roxie Foraker";"36.974"
"YELLOW";"12,750.504";"Company 5";"ADVANCED";"CONTACTED";"08/04/2010 15:47:23";"17/07/2010 15:47:23";"PRODUCT 6";"China";"Neva Hunger";"55.576"
"RED";"14,856.749";"Company 6";"EARLY";"STANDBY";"02/04/2010 01:23:23";"31/07/2010 01:23:23";"PRODUCT 5";"France";"Roxie Foraker";"7.108"
"GREY";"13,249.808";"Company 3";"ADVANCED";"DEMO";"21/04/2010 14:26:23";"19/08/2010 14:26:23";"PRODUCT 7";"Poland";"Roxie Foraker";"29.22"
"GREY";"14,256.901";"Company 1";"EARLY";"WIN";"11/04/2010 16:32:23";"02/08/2010 16:32:23";"PRODUCT 5";"Japan";"Jamie Gilbeau";"42.084"
"GREY";"8,953.156";"Company 8";"STANDBY";"LOST";"31/03/2010 00:10:23";"14/07/2010 00:10:23";"PRODUCT 8";"Mexico";"Neva Hunger";"30.203"
"YELLOW";"10,606.709";"Company 2";"ADVANCED";"SHORT LISTED";"21/04/2010 04:44:23";"14/08/2010 04:44:23";"PRODUCT 8";"Indonesia";"Nita Marling";"71.397"
"GREEN";"11,256.818";"Company 9";"STANDBY";"STANDBY";"01/04/2010 07:35:23";"31/07/2010 07:35:23";"PRODUCT 2";"Poland";"Jerri Preble";"85.222"
"GREEN";"10,030.43";"Company 9";"STANDBY";"DEMO";"19/04/2010 16:26:23";"31/07/2010 16:26:23";"PRODUCT 6";"Netherlands";"Kathrine Janas";"98.102"
"GREY";"8,552.677";"Company 9";"EARLY";"QUALIFIED";"17/04/2010 01:32:23";"23/07/2010 01:32:23";"PRODUCT 5";"China";"Jamie Gilbeau";"47.428"
"YELLOW";"10,556.791";"Company 3";"EARLY";"LOST";"10/04/2010 01:44:23";"22/08/2010 01:44:23";"PRODUCT 11";"South Korea";"Kathrine Janas";"71.892"
"YELLOW";"8,548.871";"Company 3";"ADVANCED";"QUALIFIED";"31/03/2010 09:02:23";"19/07/2010 09:02:23";"PRODUCT 5";"Poland";"Neva Hunger";"60.326"
"YELLOW";"12,132.998";"Company 4";"EARLY";"LOST";"17/04/2010 02:31:23";"24/07/2010 02:31:23";"PRODUCT 7";"Australia";"Roxie Foraker";"56.308"
"GREY";"13,352.163";"Company 2";"ADVANCED";"CONTACTED";"24/04/2010 19:21:23";"02/09/2010 19:21:23";"PRODUCT 8";"Mexico";"Kathrine Janas";"40.805"
"GREY";"10,150.458";"Company 9";"STANDBY";"WIN";"31/03/2010 23:14:23";"02/07/2010 23:14:23";"PRODUCT 7";"Germany";"Darryl Innes";"40.102"
"GREY";"14,812.028";"Company 4";"EARLY";"CONTACTED";"15/04/2010 12:52:23";"04/08/2010 12:52:23";"PRODUCT 8";"Spain";"Jerri Preble";"31.317"
"GREY";"10,982.226";"Company 7";"EARLY";"DEMO";"31/03/2010 04:43:23";"03/07/2010 04:43:23";"PRODUCT 2";"Indonesia";"Jerri Preble";"42.725"
"YELLOW";"13,626.457";"Company 3";"ADVANCED";"LOST";"17/04/2010 23:57:23";"12/08/2010 23:57:23";"PRODUCT 2";"Canada";"Jerri Preble";"71.194"
"YELLOW";"10,032.171";"Company 2";"STANDBY";"LOST";"16/04/2010 05:27:23";"03/08/2010 05:27:23";"PRODUCT 6";"India";"Kathrine Janas";"63.971"
"GREY";"9,709.479";"Company 3";"EARLY";"VERBAL COMMITMENT";"05/04/2010 08:21:23";"12/08/2010 08:21:23";"PRODUCT 11";"Germany";"Jamie Gilbeau";"37.103"
"GREY";"12,795.855";"Company 1";"ADVANCED";"WIN";"13/04/2010 23:38:23";"18/08/2010 23:38:23";"PRODUCT 10";"Saudi Arabia";"Jerri Preble";"27.749"
"RED";"9,320.401";"Company 3";"STANDBY";"STANDBY";"27/04/2010 12:03:23";"23/08/2010 12:03:23";"PRODUCT 8";"United Kingdom";"Julio Burdge";"2.645"
"YELLOW";"11,433.135";"Company 4";"EARLY";"QUALIFIED";"18/04/2010 05:39:23";"18/07/2010 05:39:23";"PRODUCT 4";"South Korea";"Kathrine Janas";"70.004"
"YELLOW";"10,454.775";"Company 9";"EARLY";"VERBAL COMMITMENT";"24/04/2010 13:25:23";"29/07/2010 13:25:23";"PRODUCT 6";"Australia";"Jamie Gilbeau";"67.093"
"RED";"11,352.487";"Company 9";"EARLY";"DEMO";"16/04/2010 12:47:23";"27/08/2010 12:47:23";"PRODUCT 10";"Poland";"Jerri Preble";"20.776"
"RED";"11,997.07";"Company 9";"STANDBY";"WIN";"15/04/2010 17:23:23";"21/08/2010 17:23:23";"PRODUCT 4";"Japan";"Neva Hunger";"3.272"
"GREY";"13,307.039";"Company 7";"EARLY";"WIN";"01/04/2010 22:33:23";"05/07/2010 22:33:23";"PRODUCT 4";"Germany";"Neva Hunger";"30.398"
"YELLOW";"8,135.077";"Company 8";"STANDBY";"WIN";"05/04/2010 12:47:23";"16/07/2010 12:47:23";"PRODUCT 2";"Belgium";"Jamie Gilbeau";"74.575"
"GREEN";"10,502.333";"Company 9";"STANDBY";"CONTACTED";"24/05/2010 09:50:23";"22/08/2010 09:50:23";"PRODUCT 3";"China";"Neva Hunger";"89.836"
"YELLOW";"13,536.02";"Company 5";"ADVANCED";"QUALIFIED";"13/05/2010 08:59:23";"15/09/2010 08:59:23";"PRODUCT 7";"Saudi Arabia";"Julio Burdge";"71.13"
"GREEN";"11,215.799";"Company 3";"STANDBY";"QUALIFIED";"14/05/2010 01:10:23";"08/09/2010 01:10:23";"PRODUCT 11";"China";"Jamie Gilbeau";"95.17"
"RED";"10,784.396";"Company 9";"EARLY";"SHORT LISTED";"03/05/2010 19:31:23";"09/08/2010 19:31:23";"PRODUCT 10";"Mexico";"Roxie Foraker";"15.096"
"RED";"13,427.95";"Company 4";"EARLY";"CONTACTED";"05/05/2010 08:44:23";"12/09/2010 08:44:23";"PRODUCT 8";"Italy";"Darryl Innes";"6.216"
"GREEN";"12,581.527";"Company 5";"EARLY";"QUALIFIED";"16/05/2010 08:44:23";"18/08/2010 08:44:23";"PRODUCT 6";"Spain";"Jamie Gilbeau";"85.103"
"GREY";"11,965.299";"Company 3";"ADVANCED";"SHORT LISTED";"13/05/2010 20:18:23";"04/09/2010 20:18:23";"PRODUCT 5";"Norway";"Roxie Foraker";"49.287"
"RED";"11,206.834";"Company 3";"EARLY";"CONTACTED";"19/05/2010 12:22:23";"26/08/2010 12:22:23";"PRODUCT 1";"Sweden";"Julio Burdge";"9.84"
"RED";"13,654.986";"Company 7";"EARLY";"VERBAL COMMITMENT";"13/05/2010 00:45:23";"04/09/2010 00:45:23";"PRODUCT 6";"Belgium";"Jamie Gilbeau";"14.094"
"GREEN";"14,740.83";"Company 4";"ADVANCED";"LOST";"13/05/2010 17:25:23";"24/08/2010 17:25:23";"PRODUCT 11";"United States";"Darryl Innes";"80.772"
"GREEN";"14,991.135";"Company 2";"EARLY";"STANDBY";"17/05/2010 00:48:23";"15/08/2010 00:48:23";"PRODUCT 4";"Belgium";"Kathrine Janas";"94.792"
"GREY";"12,549.828";"Company 1";"EARLY";"DEMO";"09/05/2010 21:04:23";"08/08/2010 21:04:23";"PRODUCT 3";"Saudi Arabia";"Roxie Foraker";"34.008"
"GREY";"8,812.921";"Company 1";"STANDBY";"WIN";"10/05/2010 09:49:23";"16/09/2010 09:49:23";"PRODUCT 11";"Switzerland";"Julio Burdge";"25.162"
"YELLOW";"13,532.373";"Company 9";"EARLY";"STANDBY";"27/05/2010 12:00:23";"27/09/2010 12:00:23";"PRODUCT 5";"United Kingdom";"Kathrine Janas";"51.301"
"YELLOW";"9,494.357";"Company 3";"STANDBY";"QUALIFIED";"27/05/2010 14:45:23";"08/10/2010 14:45:23";"PRODUCT 3";"Japan";"Darryl Innes";"57.936"
"GREY";"13,627.39";"Company 2";"STANDBY";"VERBAL COMMITMENT";"20/05/2010 08:45:23";"21/09/2010 08:45:23";"PRODUCT 8";"Norway";"Kathrine Janas";"30.197"
"GREY";"9,145.808";"Company 1";"EARLY";"WIN";"16/05/2010 19:27:23";"21/09/2010 19:27:23";"PRODUCT 11";"India";"Nita Marling";"38.261"
"YELLOW";"8,084.049";"Company 2";"STANDBY";"CONTACTED";"11/05/2010 07:26:23";"16/09/2010 07:26:23";"PRODUCT 1";"Russia";"Julio Burdge";"73.314"
"RED";"8,327.21";"Company 9";"STANDBY";"CONTACTED";"22/05/2010 21:16:23";"26/09/2010 21:16:23";"PRODUCT 1";"India";"Neva Hunger";"21.307"
"GREY";"9,993.352";"Company 3";"STANDBY";"SHORT LISTED";"21/05/2010 20:28:23";"30/08/2010 20:28:23";"PRODUCT 6";"Turkey";"Darryl Innes";"46.777"
"GREEN";"12,773.019";"Company 5";"EARLY";"LOST";"25/05/2010 22:24:23";"24/08/2010 22:24:23";"PRODUCT 4";"Saudi Arabia";"Jamie Gilbeau";"84.008"
"YELLOW";"8,581.438";"Company 7";"STANDBY";"LOST";"21/05/2010 12:58:23";"16/09/2010 12:58:23";"PRODUCT 6";"Italy";"Darryl Innes";"57.774"
"GREEN";"13,628.875";"Company 3";"ADVANCED";"STANDBY";"27/05/2010 21:58:23";"24/09/2010 21:58:23";"PRODUCT 2";"Norway";"Kathrine Janas";"80.955"
"RED";"10,764.606";"Company 8";"EARLY";"DEMO";"07/05/2010 09:18:23";"09/09/2010 09:18:23";"PRODUCT 8";"Russia";"Roxie Foraker";"1.273"
"GREEN";"10,699.983";"Company 9";"ADVANCED";"STANDBY";"07/05/2010 11:03:23";"11/08/2010 11:03:23";"PRODUCT 7";"Mexico";"Julio Burdge";"94.421"
"GREY";"8,466.055";"Company 7";"ADVANCED";"DEMO";"30/04/2010 09:21:23";"12/08/2010 09:21:23";"PRODUCT 11";"Belgium";"Roxie Foraker";"25.861"
"GREY";"12,211.216";"Company 5";"STANDBY";"LOST";"06/05/2010 05:59:23";"19/08/2010 05:59:23";"PRODUCT 10";"United Kingdom";"Roxie Foraker";"28.528"
"YELLOW";"8,194.348";"Company 6";"STANDBY";"WIN";"27/05/2010 00:38:23";"02/10/2010 00:38:23";"PRODUCT 8";"Germany";"Julio Burdge";"68.74"
"GREEN";"14,578.932";"Company 3";"STANDBY";"DEMO";"22/05/2010 08:29:23";"20/08/2010 08:29:23";"PRODUCT 8";"Germany";"Julio Burdge";"97.555"
